"Facity Name","id","Opening Date","Sector","Subdistrict","District","Province","District","Facility type","Ownership","LOCATION"
"Heritage Medical Park Clin","1654","1/21/2016","Kagarama","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Medical Clinic","Private",""
"Hindiro CS","474","1/1/2011","HINDIRO","Kabaya Sub District","Ngororero District","West","Ngororero District","Health Center","Community","-1.811942 29.619726"
"Hirwa (Nyarugenge) DISP","1162","1/1/1970","Kimisagara","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Dispensary","Private","-1.94842 30.05028"
"Hirwa (Rwamagana) DISP","1381","1/1/1900","Karenge","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Dispensary","Private",""
"Hope (Ex Amitie) DISP","1143","8/1/2012","Rwezamenyo","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Dispensary","Private",""
"Hopital Croix du Sud","466","1/1/1900","Remera","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private","-1.95822 30.1063"
"Horanubuzima (Rubavu) CLIN","1439","1899-12-31","Gisenyi","Gisenyi Sub District","Rubavu District","West","Rubavu District","Medical Clinic","Private",""
"Humanius CLIN","1294","1/1/1900","Gisozi","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private",""
"Humura (Karembo) DISP","1491","1/1/1900","Karembo","Kibungo Sub District","Ngoma District","East","Ngoma District","Dispensary","Private",""
"Humura (Nyagatare) Disp","1567","1/26/2015","MATIMBA","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Dispensary","Private",""
"HUMURA HP","2044","1/1/2017","Rwezamenyo","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Health Post","Private","-1.968211 30.056857"
"Humure CS","390","1/1/2011","Remera (Gatsibo District)","Kiziguro Sub District","Gatsibo District","East","Gatsibo District","Health Center","Public","-1.68293 30.30648"
"Hunga PS","640","1/1/1900","MIMURI","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Health Post","Public",""
"Huro HP","1770","1/1/2017","Muhondo","Ruli Sub District","Gakenke District","North","Gakenke District","Health Post","Public","-1.788195 29.868388"
"Huye DP","1098","1/1/2011","Ngoma (Huye District)","Kabutare Sub District","Huye District","South","Huye District","District Pharmacy","Public",""
"Huye Police CS","84","1/1/2011","Ngoma (Huye District)","Kabutare Sub District","Huye District","South","Huye District","Health Center","Public","-2.6019 29.731"
"Huye Youth Friendly Center","1575","1/30/2015","Ngoma (Huye District)","Kabutare Sub District","Huye District","South","Huye District","VCT center","Private",""
"HVP Gatagara","1355","1/1/1900","Mukingo","Nyanza Sub District","Nyanza District","South","Nyanza District","Other facility type","",""
"Ibereho DISP","1301","1/1/1900","Kinyinya","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Dispensary","Private",""
"Ibn Sina DISP","1164","1/1/1970","Ndera","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Dispensary","Private",""
"Icyeza DISP","1632","1/1/1970","Kigabiro","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Dispensary","Private",""
"Igihozo Medical Clin","1387","1/1/1900","Busasamana","Nyanza Sub District","Nyanza District","South","Nyanza District","Medical Clinic","Private",""
"Igirimbabazi Disp","2148","4/25/2018","Kanama","Gisenyi Sub District","Rubavu District","West","Rubavu District","Dispensary","Private",""
"Igisubizo Dental Technical CLI","1382","1/1/1900","Kamembe","Gihundwe Sub District","Rusizi District","West","Rusizi District","Medical Clinic","Private",""
"Igiti cy'ubigingo VCT","1292","1/1/1900","Huye","Kabutare Sub District","Huye District","South","Huye District","VCT center","Private","-2.621162 29.741481"
"Ihanika HP","1955","1/1/2017","Jarama","Kibungo Sub District","Ngoma District","East","Ngoma District","Health Post","Public","-2.260666 30.363951"
"Ihanika Poste secondaire","1956","1/1/2017","Jarama","Kibungo Sub District","Ngoma District","East","Ngoma District","Health Post level 2","Public","-2.260666 30.363951"
"Ihumure (MUHANGA) DISP","1432","6/1/2005","Nyamabuye","Kabgayi Sub District","Muhanga District","South","Muhanga District","Dispensary","Private",""
"Ihumure (Nasho) DISP","1492","1/1/1900","Nasho","Kirehe Sub District","Kirehe District","East","Kirehe District","Dispensary","Private",""
"Ihumure (Nyarugenge) DISP","1165","1/1/1914","Kimisagara","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Dispensary","Private","-1.956181 30.05346"
"Ihumure Medical CLIN","1129","1/1/1970","Kimisagara","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Medical Clinic","Private","-1.967801 30.120887"
"Imanzi DISP","1166","1/1/1970","Rusororo","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Dispensary","Private","-1.977313 30.223737"
"Imboni CLIN","1123","1/1/1970","Nyarugenge","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Medical Clinic","Private","-1.951033 30.063068"
"Impinga Poste secondaire","1835","1/1/2017","Kigembe","Kibilizi Sub District","Gisagara District","South","Gisagara District","Health Post level 2","Public","-2.715556 29.768718"
"Impuhwe (Gatenga) DISP 2","1431","1/1/1900","Gatenga","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Dispensary","Private",""
"Impuhwe (Kicukiro) DISP","1168","1/1/2012","Kicukiro","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Dispensary","Private","-1.978676 30.087189"
"Impuhwe (Kicukiro1) DISP","1167","10/15/2014","Kicukiro","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Dispensary","Private","-1.980613 30.10251"
"Impuhwe (Mururu) DISP","1493","1/1/1900","Mururu","Gihundwe Sub District","Rusizi District","West","Rusizi District","Dispensary","Private",""
"Impuhwe (Nyanza) DISP","1383","1/1/1900","Kibilizi","Nyanza Sub District","Nyanza District","South","Nyanza District","Dispensary","Private",""
"Impuhwe (Rubavu) Disp","1438","1/1/2004","Gisenyi","Gisenyi Sub District","Rubavu District","West","Rubavu District","Dispensary","Private",""
"Impuhwe (Ruhango) DISP","1384","1/1/1900","Ntongwe","Ruhango Sub District","Ruhango District","South","Ruhango District","Dispensary","Private",""
"Imvugo niyo Ngiro Ltd Disp","1549","1/21/2014","Kigarama","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Dispensary","Private",""
"Ineza (Gisagara) DISP","1430","1/1/2000","Musha","Gakoma Sub District","Gisagara District","South","Gisagara District","Dispensary","Private",""
"Ineza Disp","1674","1/11/2017","Kigarama","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Dispensary","Private",""
"Ineza Medical Clinic","1624","1/1/1970","Nyamabuye","Kabgayi Sub District","Muhanga District","South","Muhanga District","Medical Clinic","Private",""
"INGOBOKA  DISP","1385","1/1/1900","Nyamabuye","Kabgayi Sub District","Muhanga District","South","Muhanga District","Dispensary","Private",""
"Ingoboka DISP","1636","1/1/1970","Busoro","Nyanza Sub District","Nyanza District","South","Nyanza District","Dispensary","Private",""
"Inkuru Nziza Orthopedic Hosp","1578","11/5/1900","Gikondo","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Medical Clinic","Private",""
"Inshuti (Rusizi) DISP","1386","1/1/1900","Gikundamvura","Mibilizi Sub District","Rusizi District","West","Rusizi District","Dispensary","Private",""
"Inshuti DISP","1169","1/1/1970","Kigali","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Dispensary","Private","-1.943257 30.037838"
"Inshuti Medical Clin","1694","11/21/2016","Gasaka","Kigeme Sub District","Nyamagabe District","South","Nyamagabe District","Medical Clinic","Private",""
"Iramiro CLIN","1124","8/1/2000","Rusororo","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private","-1.97812 30.227052"
"Iramiro Clinic Ltd","1546","3/26/2014","Runda","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Medical Clinic","Private",""
"Iranzi Clin","1679","12/12/2016","Remera","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private",""
"Isangano Clin","1170","11/21/2013","Gatsata","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private","-1.9365 30.044485"
"Isangano HP","1895","1/1/2017","Ndego","Rwinkwavu Sub District","Kayonza District","East","Kayonza District","Health Post","Public","-1.972869 30.758996"
"Isango Medical CLIN","1128","8/1/2007","Nyamirambo","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Medical Clinic","Private","-1.94722 30.05917"
"Isezerano Medical Clin","1693","11/21/2016","Busasamana","Nyanza Sub District","Nyanza District","South","Nyanza District","Medical Clinic","Private",""
"Islamic (Bugarama) CS","242","1/1/2011","Bugarama","Mibilizi Sub District","Rusizi District","West","Rusizi District","Health Center","Agree","-2.69554 29.01217"
"Isugi DISP","1388","1/1/1900","Kigabiro","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Dispensary","Private",""
"Ituze (Nyarugenge) DISP","1172","1/1/1970","Nyamirambo","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Dispensary","Private","-1.987254 30.048971"
"Ivuriro Isangano Clinic","1295","1/1/1900","Gatsata","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Medical Clinic","Private",""
"Iwacu (Kamonyi) DISP","528","1/1/2011","Musambira","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Dispensary","Private",""
"Iwacu (Rubavu) DISP","1389","1/1/1900","Gisenyi","Gisenyi Sub District","Rubavu District","West","Rubavu District","Dispensary","Private",""
"Iwacu (Ruvune) DISP","1495","1/1/1900","Ruvune","Byumba Sub District","Gicumbi District","North","Gicumbi District","Dispensary","Private",""
"Iwawa CS","1533","1/1/1900","Boneza","Murunda Sub District","Rutsiro District","West","Rutsiro District","Health Center","Public",""
"Izere (Gasabo) DISP","1174","1/1/1970","Jabana","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Dispensary","Private","-1.963845 30.098608"
"Izere (Kicukiro) DISP","1173","1/1/1970","Gatenga","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Dispensary","Private","-1.979662 30.099768"
"Izere (Nyakariro) DISP","1497","1/1/1900","Nyakaliro","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Dispensary","Private",""
"Izere (Nyamata) DISP","1598","1/1/1970","Nyamata","Nyamata Sub District","Bugesera District","East","Bugesera District","Dispensary","Private",""
"Jali CS","16","1/1/2011","Jali","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Health Center","Public","-1.89 30.0191"
"James Memorial Disp","1663","12/4/2006","Kanombe","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Dispensary","Private",""
"Janja CS","292","1/1/2011","Janja","Nemba Sub District","Gakenke District","North","Gakenke District","Health Center","Agree","-1.6823 29.6748"
"Janja Poste secondaire","1771","1/1/2017","Janja","Nemba Sub District","Gakenke District","North","Gakenke District","Health Post level 2","Public","-1.68579 29.67862"
"Janjagiro DISP","1390","1/1/1900","Fumbwe","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Dispensary","Private",""
"Jarama CS","434","1/1/2011","Jarama","Kibungo Sub District","Ngoma District","East","Ngoma District","Health Center","Agree","-2.28 30.3812"
"JARAMA HP","2008","1/1/2017","Gihombo","Kibogora Sub District","Nyamasheke District","West","Nyamasheke District","Health Post","Public","-2.23454 29.225768"
"Jenda (nyabihu) PS","636","1/1/2011","Jenda","Shyira Sub District","Nyabihu District","West","Nyabihu District","Health Post","Public","-1.626409 29.46965"
"Jenda (nyamagabe) CS","99","1/1/2011","Musange","Kaduha Sub District","Nyamagabe District","South","Nyamagabe District","Health Center","Public","-2.2859 29.5732"
"Jenda HP","1866","1/1/2017","Mugina","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Health Post","Agree","-2.155726 29.962489"
"Jomba CS","210","1/1/2011","Jomba","Shyira Sub District","Nyabihu District","West","Nyabihu District","Health Center","Public","-1.7094 29.5948"
"JOMBA HP","1972","1/1/2017","Jomba","Shyira Sub District","Nyabihu District","West","Nyabihu District","Health Post","Public","-1.703192 29.556506"
"Jubilee Dental  Clinic","1467","1/1/2014","Niboye","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Medical Clinic","Private",""
"Juru (Gahini) PS","1618","1/1/1970","Gahini","Gahini Sub District","Kayonza District","East","Kayonza District","Health Post","",""
"Juru CS","603","1/1/2011","Juru","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Center","Public","-2.115417 30.23283"
"JURWE HP","2009","1/1/2017","Rangiro","Kibogora Sub District","Nyamasheke District","West","Nyamasheke District","Health Post","Public","-2.39371 29.134049"
"Kabare PS","1498","1/1/1900","Kabare","Rwinkwavu Sub District","Kayonza District","East","Kayonza District","Health Post","Public",""
"Kabari (Rubavu) CS","647","1/5/2016","Kanzenze","Gisenyi Sub District","Rubavu District","West","Rubavu District","Health Center","Public","-1.642273 29.383866"
"Kabarondo (kayonza) CS","407","1/1/2011","Kabarondo","Rwinkwavu Sub District","Kayonza District","East","Kayonza District","Health Center","Public","-2.0103 30.5577"
"Kabarondo Prive DISP","532","1/1/1900","Kabarondo","Rwinkwavu Sub District","Kayonza District","East","Kayonza District","Dispensary","Private","-2.01389 30.558009"
"Kabarore CS","391","1/1/2011","Kabarore","Kiziguro Sub District","Gatsibo District","East","Gatsibo District","Health Center","Public","-1.6242 30.3887"
"Kabatwa CS","212","1/1/2011","Kabatwa","Shyira Sub District","Nyabihu District","West","Nyabihu District","Health Center","Public","-1.5496 29.3925"
"Kabaya CS","224","1/1/2011","KABAYA","Kabaya Sub District","Ngororero District","West","Ngororero District","Health Center","Public","-1.7473 29.5379"
"Kabaya DH","225","1/1/2011","KABAYA","Kabaya Sub District","Ngororero District","West","Ngororero District","District Hospital","Public","-1.7472 29.5373"
"Kabaya HP","1738","1/1/2017","Kagogo","Butaro Sub District","Burera District","North","Burera District","Health Post","Private","-1.376751 29.780177"
"Kabazungu HP","1944","1/1/2017","Musanze","Ruhengeri Sub District","Musanze District","North","Musanze District","Health Post","Agree","-1.472084 29.545805"
"Kabere CS","311","1/1/2011","Muko","Ruhengeri Sub District","Musanze District","North","Musanze District","Health Center","Public","-1.5553 29.5945"
"KABERE HP","2057","1/1/2017","Nyabimata","Munini Sub District","Nyaruguru District","South","Nyaruguru District","Health Post","Public","-2.715066 29.442103"
"Kabeza (Kabarore) PS","1607","1/1/1970","Kabarore","Kiziguro Sub District","Gatsibo District","East","Gatsibo District","Health Post","Private",""
"Kabeza (RIRIMA) HP","1717","1/1/2017","Ririma","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Post","Private","-2.212001 30.193024"
"Kabeza (RUBAYA) HP","1816","1/1/2017","Rubaya","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Post","Public","-1.484603 29.985913"
"Kabeza (Rwimboho) HP","2145","7/8/2017","Rwimbogo (Gatsibo District)","Kiziguro Sub District","Gatsibo District","East","Gatsibo District","Health Post","Public",""
"Kabgayi CS","132","1/1/2011","Nyamabuye","Kabgayi Sub District","Muhanga District","South","Muhanga District","Health Center","Agree","-2.1018 29.7525"
"Kabgayi DH","133","1/1/2011","Nyamabuye","Kabgayi Sub District","Muhanga District","South","Muhanga District","District Hospital","Agree","-2.1045 29.7506"
"Kabgayi School of Nursing & Mi","1351","1/1/2005","Nyamabuye","Kabgayi Sub District","Muhanga District","South","Muhanga District","Nursing School","Public",""
"Kabilizi CS","69","1/1/2011","Rusenge","Munini Sub District","Nyaruguru District","South","Nyaruguru District","Health Center","Public","-2.641 29.6234"
"Kabo (RUSHAKI) HP","1817","1/1/2017","Rushaki","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Post","Public","-1.516278 30.121926"
"Kabo HP","1615","1/1/1970","Muko (Gicumbi  District)","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Post","",""
"Kabona CS","181","1/1/2011","Rusebeya","Murunda Sub District","Rutsiro District","West","Rutsiro District","Health Center","Agree","-1.9436 29.4876"
"Kabona HP","1739","1/1/2017","Rusarabuye","Butaro Sub District","Burera District","North","Burera District","Health Post","Public","-1.43862 29.829245"
"Kabuga (karama Nyagatare) CS","369","1/1/2011","Karama (Nyagatare)","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Health Center","Public","-1.3551 30.1984"
"KABUGA (KARAMBI) HP","2010","1/1/2017","Karambi","Kibogora Sub District","Nyamasheke District","West","Nyamasheke District","Health Post","Public","-2.315156 29.222989"
"Kabuga (kicukiro) CS","33","1/1/2011","Masaka","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Health Center","Agree","-1.9839 30.2285"
"Kabuga (NGAMBA) HP","1867","1/1/2017","Ngamba","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Health Post","Public","-1.8761 29.924257"
"Kabuga (ntamba Kamonyi) CS","144","1/1/2011","Ngamba","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Health Center","Agree","-1.8849 29.9378"
"KABUGA (NYAGISOZI) HP","2035","1/1/2017","Nyagisozi","Nyanza Sub District","Nyanza District","South","Nyanza District","Health Post","Public","-2.337764 29.591481"
"Kabuga (rugango) PS","648","1/1/2011","Mbuye","Ruhango Sub District","Ruhango District","South","Ruhango District","Health Post","Public",""
"Kabuga Poste secondaire","1868","1/1/2017","Ngamba","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Health Post level 2","Public","-1.876061 29.924246"
"Kabuga Youth Friendly Center","1307","1/1/1900","Rusororo","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","VCT center","Private","-1.974701 30.222173"
"Kabukuba HP","1698","1/1/2017","Juru","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Post","Private","-2.102571 30.189529"
"Kabura PS","1621","1/1/1970","Nyamirama","Rwinkwavu Sub District","Kayonza District","East","Kayonza District","Health Post","",""
"KABURIRO HP","2011","1/1/2017","Kirimbi","Kibogora Sub District","Nyamasheke District","West","Nyamasheke District","Health Post","Public","-2.276776 29.253857"
"Kabusunzu CS","6","1/1/2011","Nyakabanda","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Health Center","Public","-1.963 30.0519"
"Kabutare DH","85","1/1/2011","Ngoma (Huye District)","Kabutare Sub District","Huye District","South","Huye District","District Hospital","Public","-2.6073 29.7473"
"Kabuye (kirehe) CS","422","1/1/2011","Mpanga","Kirehe Sub District","Kirehe District","East","Kirehe District","Health Center","Public","-2.0876 30.778"
"Kabuye CS","17","1/1/2011","Jabana","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Health Center","Public","-1.8898 30.0635"
"Kacyiru CS","18","1/1/2011","Kacyiru","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Health Center","Public","-1.9331 30.0752"
"Kacyiru DH","19","1/1/2011","Kacyiru","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","District Hospital","Public","-1.932984 30.075489"
"KADAHO HP","2036","1/1/2017","Cyabakamyi","Nyanza Sub District","Nyanza District","South","Nyanza District","Health Post","Public","-2.259553 29.616507"
"Kaduha CS","100","1/1/2011","Kaduha","Kaduha Sub District","Nyamagabe District","South","Nyamagabe District","Health Center","Agree","-2.333 29.5249"
"Kaduha DH","101","1/1/2011","Kaduha","Kaduha Sub District","Nyamagabe District","South","Nyamagabe District","District Hospital","Public","-2.3333 29.5262"
"Kagamba Franchise PS","1500","1/1/1900","Nyamiyaga (Gicumbi  District)","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Post","Public",""
"Kaganda HP","1740","1/1/2017","Kinyababa","Butaro Sub District","Burera District","North","Burera District","Health Post","Public","-1.413753 29.792712"
"KAGARAMA HP","2012","1/1/2017","Bushekeri","Bushenge Sub District","Nyamasheke District","West","Nyamasheke District","Health Post","Public","-2.408425 29.065484"
"Kagese HP","1912","1/1/2017","Nasho","Kirehe Sub District","Kirehe District","East","Kirehe District","Health Post","Public","-2.136795223 30.75206213"
"Kageyo (gatsibo) CS","392","1/1/2011","Kageyo (Gatsibo District)","Ngarama Sub District","Gatsibo District","East","Gatsibo District","Health Center","Public","-1.6796 30.2709"
"Kageyo (Ngororero) CS","1538","7/1/2014","KAGEYO","Muhororo Sub District","Ngororero District","West","Ngororero District","Health Center","Public",""
"Kageyo (ngororero) Fosacom","631","1/1/2011","KAGEYO","Muhororo Sub District","Ngororero District","West","Ngororero District","Community-owned health facility","Community","-1.871032 29.591446"
"Kageyo I (Kayonza Gahini) CS","594","1/1/2011","Mwiri","Gahini Sub District","Kayonza District","East","Kayonza District","Health Center","Public","-1.8394 30.65387"
"Kagitega HP","1741","1/1/2017","Cyanika (Burera  District)","Butaro Sub District","Burera District","North","Burera District","Health Post","Private","-1.376924 29.739315"
"Kagitumba CS","370","1/1/2011","MATIMBA","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Health Center","Public","-1.0768 30.4494"
"Kagogo HP","1818","1/1/2017","Giti","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Post","Public","-1.753764 30.252202"
"Kagugu CS","20","1/1/2011","Kinyinya","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Health Center","Public","-1.9129 30.0863"
"Kairos CS","1647","6/22/2015","Kanombe","Masaka Sub District","Kicukiro District","Kigali City","Kicukiro District","Health Center","Agree",""
"Kajevuba CS","272","1/1/2011","NTARABANA","Rutongo Sub District","Rulindo District","North","Rulindo District","Health Center","Public","-1.8089 30.1262"
"Kajevuba HP","1791","1/1/2017","Jali","Kibagabaga Sub District","Gasabo District","Kigali City","Gasabo District","Health Post","Public","-1.848135 29.992135"
"Kajinge HP","1967","1/1/2017","HINDIRO","Kabaya Sub District","Ngororero District","West","Ngororero District","Health Post","Public","-1.811056 29.570639"
"Kamabuye CS","449","1/1/2011","Kamabuye","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Center","Public","-2.3719 30.1302"
"Kamagiri PS","1501","1/1/1900","NYAGATARE","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Health Post","Public",""
"Kamanyana HP","1742","1/1/2017","Cyanika (Burera  District)","Butaro Sub District","Burera District","North","Burera District","Health Post","Agree","-1.347822 29.743635"
"KAMATE HP","1980","1/1/2017","KARANGAZI","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Health Post","Agree","-1.374005 30.421182"
"Kamina HP","1772","1/1/2017","Busengo","Nemba Sub District","Gakenke District","North","Gakenke District","Health Post","Public","-1.637011 29.726326"
"Kamisave HP","1945","1/1/2017","Remera (Musanze  District)","Ruhengeri Sub District","Musanze District","North","Musanze District","Health Post","Agree","-1.564383 29.709809"
"Kamonyi (gacurabwenge) CS","145","1/1/2011","Gacurabwenge","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Health Center","Public","-2.0044 29.9056"
"Kamonyi (ruharambuga) CS","257","1/1/2011","Ruharambuga","Bushenge Sub District","Nyamasheke District","West","Nyamasheke District","Health Center","Agree","-2.4465 29.0207"
"Kamonyi DISP","526","1/1/2011","Gacurabwenge","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Dispensary","Private",""
"Kamonyi DP","1083","1/1/1900","Rukoma","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","District Pharmacy","Public","-1.95426 29.902588"
"Kamubuga CS","483","1/1/2011","Kamubuga","Nemba Sub District","Gakenke District","North","Gakenke District","Health Center","Public","-1.589194 29.794167"
"KAMUKOBE HP","2107","1/1/2017","Gitambi","Mibilizi Sub District","Rusizi District","West","Rusizi District","Health Post","Public","-2.610214 28.988495"
"Kamwumba HP","1946","1/1/2017","Nyange (Musanze)","Ruhengeri Sub District","Musanze District","North","Musanze District","Health Post","Agree","-1.461192 29.613113"
"Kanazi HP","1713","1/1/2017","Nyamata","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Post","Private","-2.16797 30.067212"
"Kaniga HP","1819","1/1/2017","Kaniga","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Post","Agree","-1.42815 30.037145"
"KANOMBE HP","1981","1/1/2017","RWIMIYAGA","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Health Post","Public","-1.275203 30.498869"
"Kansi CS","58","1/1/2011","Kansi","Kibilizi Sub District","Gisagara District","South","Gisagara District","Health Center","Agree","-2.7012 29.7508"
"Kanyangesi HP","1801","1/1/2017","Rugarama (Gatsibo District)","Kiziguro Sub District","Gatsibo District","East","Gatsibo District","Health Post","Public","-1.681721 30.430245"
"Kanyinya CS","1337","7/23/2013","Kanyinya","Muhima Sub District","Nyarugenge District","Kigali City","Nyarugenge District","Health Center","Public",""
"Kanzenze HP","1711","1/1/2017","Ntarama","Nyamata Sub District","Bugesera District","East","Bugesera District","Health Post","Private","-2.07031 30.08965"
"Karama (huye) CS","86","1/1/2011","Karama (Huye)","Kabutare Sub District","Huye District","South","Huye District","Health Center","Agree","-2.6121 29.6437"
"Karama (huye) CS","86","1/1/2011","Karama (Huye)","Kabutare Sub District","Huye District","South","Huye District","Health Center","Public","-2.6121 29.6437"
"Karama (Kamonyi) CS","1666","5/18/2016","Karama (Kamonyi District)","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Health Center","Public",""
"Karama (kayonza) CS","408","1/1/2011","Murama","Rwinkwavu Sub District","Kayonza District","East","Kayonza District","Health Center","Public","-2.0516 30.6017"
"KARAMA HP","2037","1/1/2017","Ntyazo","Nyanza Sub District","Nyanza District","South","Nyanza District","Health Post","Agree","-2.38874 29.825874"
"Karama Poste secondaire","1848","1/1/2017","Karama (Huye)","Kabutare Sub District","Huye District","South","Huye District","Health Post level 2","Public","-2.608939 29.643728"
"Karambi (KIGOMA) HP","1849","1/1/2017","Karama (Huye)","Kabutare Sub District","Huye District","South","Huye District","Health Post","Public","-2.512222 29.615131"
"Karambi (NGARAMA) HP","1802","1/1/2017","Ngarama","Ngarama Sub District","Gatsibo District","East","Gatsibo District","Health Post","Public","-1.503312 30.243698"
"Karambi (nyamasheke) CS","258","1/1/2011","Karambi","Kibogora Sub District","Nyamasheke District","West","Nyamasheke District","Health Center","Public","-2.3139 29.2479"
"Karambi (ruhango) CS","117","1/1/2011","Kabagali","Gitwe Sub District","Ruhango District","South","Ruhango District","Health Center","Public","-2.2255 29.6506"
"Karambo (BUKURE) HP","1820","1/1/2017","Bukure","Byumba Sub District","Gicumbi District","North","Gicumbi District","Health Post","Agree","-1.841899 30.244656"
"Karambo (gakenke) CS","293","1/1/2011","Karambo","Nemba Sub District","Gakenke District","North","Gakenke District","Health Center","Public","-1.6303 29.8402"
"KARAMBO (KARAMA) HP","2076","1/1/2017","Kanama","Gisenyi Sub District","Rubavu District","West","Rubavu District","Health Post","Public","-1.716626 29.377399"
"Karambo (rubavu) CS","200","1/1/2011","Kanama","Gisenyi Sub District","Rubavu District","West","Rubavu District","Health Center","Public","-1.7166 29.3774"
"Karangara CS","146","1/1/2011","Ngamba","Remera Rukoma Sub District","Kamonyi District","South","Kamonyi District","Health Center","Public","-1.8973 29.8998"
"Karangazi CS","371","1/1/2011","NYAGATARE","Nyagatare Sub District","Nyagatare District","East","Nyagatare District","Health Center","Public","-1.3883 30.3885"
"Kareba CS","213","1/1/2011","Jenda","Shyira Sub District","Nyabihu District","West","Nyabihu District","Health Center","Public","-1.5834 29.4763"
"Karembo HP","1957","1/1/2017","Karembo","Kibungo Sub District","Ngoma District","East","Ngoma District","Health Post","Public","-2.124831 30.447213"
"Karenge CS","355","1/1/2011","Karenge","Rwamagana Sub District","Rwamagana District","East","Rwamagana District","Health Center","Public","-2.0818 30.3096"
"Karengera CS","259","1/1/2011","Kirimbi","Kibogora Sub District","Nyamasheke District","West","Nyamasheke District","Health Center","Agree","-2.2608 29.2219"
