name,id,long_name,contact_person,phone_number,alt_phone_number,catchment_population,point_x,point_y,parent_location_id,parent_location_name,location_type_name,location_ownership_name,infrastructure_ids,infrastructure_names,service_ids,service_names,facility_type
Omuthiya District Health Office,12015,,,,,,-18.3529,16.570801,11965,Omuthiya District,Facility,Public_MoHSS,,,,,District Health Office
Omuthiya Clinic,10500,,,65244271,,3852,-18.3529,16.570801,11965,Omuthiya District,Facility,Public_MoHSS,"5,6,7,9,11,16,17","Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Enrolled Nurses,Registered Nurses","1,2,3,8,31,32,38,39,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Ante Natal Clinic Services,Family Planning Services,Option B+,DNA EID Testing",Clinic
Omuntele Clinic,10499,,,65289205,,7704,-18.2383,16.239907,11965,Omuthiya District,Facility,Public_MoHSS,"7,9,11,13,16,17","Health Extension Workers,Toilets,Phone Number,Computers,Enrolled Nurses,Registered Nurses","1,2,3,31,32,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Ndamono Clinic,10496,,,65286319,,,-18.1864,16.377909,11965,Omuthiya District,Facility,Public_MoHSS,"5,6,7,9,11,13,16,17,20","Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Computers,Enrolled Nurses,Registered Nurses,Administrative Officers","1,2,3,8,31,32,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Hedimbi Clinic,10572,,,65285089,,1661,-18.1765,17.20548,11965,Omuthiya District,Facility,Public_MoHSS,"5,6,7,9,11,14,16","Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Vehicles,Enrolled Nurses","1,2,3,8,31,32,38,39,40,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Ante Natal Clinic Services,Family Planning Services,Anti Retroviral Therapy Outreach Site,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Amilema Clinic,10492,,,65244236,,3852,-18.3814,16.414034,11965,Omuthiya District,Facility,Public_MoHSS,"5,6,7,9,11,13,16,17","Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Computers,Enrolled Nurses,Registered Nurses","1,2,3,8,31,32,36,38,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Tonateni New Start Site,12179,,,,,,,,10613,Oshakati District,Facility,NGO,,,,,0
Ou Nick Health Centre,10489,,,,,27468,-17.7766,15.690547,10613,Oshakati District,Facility,Public_MoHSS,"5,6,7,9,10,13,14,16,17,19,20","Electricity,Running Water,Health Extension Workers,Toilets,Internet,Computers,Vehicles,Enrolled Nurses,Registered Nurses,Doctors,Administrative Officers","1,2,3,4,8,31,32,36,37,38,39,41,52","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Anti Retroviral Therapy Main Site,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+",Health Centre
Oshana Regional Health Office,11978,,,,,,-17.7894,15.706941,10613,Oshakati District,Facility,Public_MoHSS,,,,,Regional Health Office
Oshakati Intermediate Hospital,10488,,,,,,-17.7894,15.706941,10613,Oshakati District,Facility,Public_MoHSS,"2,4,5,6,8,10,14,16,17,19,20","Beds,Mortuary,Electricity,Running Water,Back Up Generator,Internet,Vehicles,Enrolled Nurses,Registered Nurses,Doctors,Administrative Officers","1,2,3,4,8,16,31,32,33,35,36,37,38,39,40,41,43,45,46,48,49,50,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Anti Retroviral Therapy Main Site,Preventing Mother To Child Transmission Services,Special surgeries (Transplant,plastic surgery, neuro surgery etc.),Viral Load Testing,Sexual Transmitted Infections,General Dentistry,Orthopedics,Anti Retroviral Therapy IMAI Site,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Anti Retroviral Therapy Outreach Site,Tuberculosis Services,Occupational Therapy,Oncology,Radiology,Physiotherapy,Psychiatric Services,Ophthamology & Eye Surgery,Option B+,DNA EID Testing",Hospital
Oshakati Health Centre,10487,,,,,36624,-17.7894,15.70694,10613,Oshakati District,Facility,Public_MoHSS,"5,6,7,9,13,16,17,19,20","Electricity,Running Water,Health Extension Workers,Toilets,Computers,Enrolled Nurses,Registered Nurses,Doctors,Administrative Officers","1,2,3,4,8,31,32,37,38,39,40,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Anti Retroviral Therapy Main Site,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Anti Retroviral Therapy Outreach Site,Tuberculosis Services,Option B+,DNA EID Testing",Health Centre
Oshakati District Health Office,12018,,,,,,-17.7894,15.706941,10613,Oshakati District,Facility,Public_MoHSS,,,,,District Health Office
Ongwediva Medipark Hospital,10486,,,,,,-17.7775,15.766407,10613,Oshakati District,Facility,Private,,,,,Hospital
Ongwediva Health Centre,10571,,,,,,-17.7669,15.758713,10613,Oshakati District,Facility,Public_MoHSS,"2,5,6,7,9,13,16,17,20","Beds,Electricity,Running Water,Health Extension Workers,Toilets,Computers,Enrolled Nurses,Registered Nurses,Administrative Officers","1,2,3,4,8,31,32,36,37,38,39,40,41,49,52","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Anti Retroviral Therapy Main Site,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Anti Retroviral Therapy Outreach Site,Tuberculosis Services,Psychiatric Services,Option B+",Health Centre
Onamutayi Clinic,10483,,,,,7325,-17.7331,15.84176,10613,Oshakati District,Facility,Public_MoHSS,"2,5,6,7,9,13,17,20","Beds,Electricity,Running Water,Health Extension Workers,Toilets,Computers,Registered Nurses,Administrative Officers","1,2,3,4,8,31,32,36,37,38,39,41,49,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Anti Retroviral Therapy Main Site,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Psychiatric Services,Option B+,DNA EID Testing",Clinic
Ompundja Clinic,10482,,,,,3662,-17.9081,15.70143,10613,Oshakati District,Facility,Public_MoHSS,"5,6,7,9,13,16,17","Electricity,Running Water,Health Extension Workers,Toilets,Computers,Enrolled Nurses,Registered Nurses","1,2,3,4,8,31,32,37,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Anti Retroviral Therapy Main Site,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Omagano Health Centre,10481,,,,,,-17.7868,15.732914,10613,Oshakati District,Facility,Private,,,,,Health Centre
Okaukuejo Clinic,10480,,,,,,-19.18,15.920378,10613,Oshakati District,Facility,Public_MoHSS,"1,5,6,9,13,16,17","Ambulances,Electricity,Running Water,Toilets,Computers,Enrolled Nurses,Registered Nurses","1,2,3,8,31,32,37,38,39,41,49,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Psychiatric Services,Option B+,DNA EID Testing",Clinic
Okaukamasheshe Clinic,10479,,,,,3662,-17.896,15.55821,10613,Oshakati District,Facility,Public_MoHSS,"2,5,6,7,8,9,13,14,16","Beds,Electricity,Running Water,Health Extension Workers,Back Up Generator,Toilets,Computers,Vehicles,Enrolled Nurses","1,2,3,4,8,31,32,37,38,39,40,41,49,51,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Anti Retroviral Therapy Main Site,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Anti Retroviral Therapy Outreach Site,Tuberculosis Services,Psychiatric Services,Clinical Psychology,Option B+,DNA EID Testing",Clinic
Okatana Health Centre,10478,,,,,9156,-17.7411,15.713012,10613,Oshakati District,Facility,Faith Based Organisation,"1,2,4,5,6,7,8,9,10,13,14,16,17,18,20","Ambulances,Beds,Mortuary,Electricity,Running Water,Health Extension Workers,Back Up Generator,Toilets,Internet,Computers,Vehicles,Enrolled Nurses,Registered Nurses,Health Assistants,Administrative Officers","1,2,3,4,8,32,36,37,38,39,41,49,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Anti Retroviral Therapy Main Site,Preventing Mother To Child Transmission Services,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Psychiatric Services,Option B+,DNA EID Testing",Health Centre
Okandjegedi Medical Clinic,10477,,,,,,-17.7718,15.69053,10613,Oshakati District,Facility,Private,,,,,Clinic
Ndilimani Clinic,10475,,,,,,-17.742,15.71046,10613,Oshakati District,Facility,Private,,,,,Clinic
Enkono Clinic,10474,,,,,3662,-17.9015,15.75255,10613,Oshakati District,Facility,Public_MoHSS,"5,6,7,9,13,16,17","Electricity,Running Water,Health Extension Workers,Toilets,Computers,Enrolled Nurses,Registered Nurses","1,2,3,4,8,31,32,36,37,38,39,41,49,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Anti Retroviral Therapy Main Site,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Psychiatric Services,Option B+,DNA EID Testing",Clinic
Eluwa Clinic,10473,,,,,7325,-17.7811,15.76681,10613,Oshakati District,Facility,Public_MoHSS,"2,5,6,7,9,13,16,17,19,20","Beds,Electricity,Running Water,Health Extension Workers,Toilets,Computers,Enrolled Nurses,Registered Nurses,Doctors,Administrative Officers","1,2,3,8,31,32,36,37,38,39,40,41,49,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Anti Retroviral Therapy Outreach Site,Tuberculosis Services,Psychiatric Services,Option B+,DNA EID Testing",Clinic
Eloolo Clinic,12218,,,,,,,,10613,Oshakati District,Facility,Public_MoHSS,"1,2,5,6,7,9,13,14,16","Ambulances,Beds,Electricity,Running Water,Health Extension Workers,Toilets,Computers,Vehicles,Enrolled Nurses","1,2,3,4,8,31,32,36,37,38,39,41,49,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Anti Retroviral Therapy Main Site,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Psychiatric Services,Option B+,DNA EID Testing",Clinic
Ekamba Clinic,10472,,,,,1831,-17.7871,15.56275,10613,Oshakati District,Facility,Public_MoHSS,"5,6,7,9,13,16,17","Electricity,Running Water,Health Extension Workers,Toilets,Computers,Enrolled Nurses,Registered Nurses","1,2,3,4,8,31,32,36,37,38,39,40,41,49,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Anti Retroviral Therapy Main Site,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Anti Retroviral Therapy Outreach Site,Tuberculosis Services,Psychiatric Services,Option B+,DNA EID Testing",Clinic
Uukwiyuushona Clinic,10490,,,,,5494,-18.018,15.91768,11964,Ondangwa District,Facility,Public_MoHSS,"8,13,5,16,7,17,6,9","Back Up Generator,Computers,Electricity,Enrolled Nurses,Health Extension Workers,Registered Nurses,Running Water,Toilets","1,2,3,4,8,31,32,36,37,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Anti Retroviral Therapy Main Site,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Ondangwa Health Centre,10484,,,,,,-17.926,15.987678,11964,Ondangwa District,Facility,Public_MoHSS,"5,6,7,9,13,14,16,17,19,20","Electricity,Running Water,Health Extension Workers,Toilets,Computers,Vehicles,Enrolled Nurses,Registered Nurses,Doctors,Administrative Officers","1,2,3,4,8,31,32,36,37,38,39,40,41,49,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Anti Retroviral Therapy Main Site,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Anti Retroviral Therapy Outreach Site,Tuberculosis Services,Psychiatric Services,Option B+,DNA EID Testing",Health Centre
Ondangwa District Health Office,12032,,,,,,-17.926,15.987678,11964,Ondangwa District,Facility,Public_MoHSS,,,,,District Health Office
Oluno Prison,12241,,,,,,,,11964,Ondangwa District,Facility,Police,,,,,Prison
Okaku Clinic,10476,,,,,9156,-17.812,15.926072,11964,Ondangwa District,Facility,Public_MoHSS,"2,5,6,7,9,13,14,16,17,20","Beds,Electricity,Running Water,Health Extension Workers,Toilets,Computers,Vehicles,Enrolled Nurses,Registered Nurses,Administrative Officers","1,2,3,4,8,31,32,36,37,38,39,40,41,49,51,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Anti Retroviral Therapy Main Site,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Anti Retroviral Therapy Outreach Site,Tuberculosis Services,Psychiatric Services,Clinical Psychology,Option B+,DNA EID Testing",Clinic
Kapia Health Center,12243,,,,,,,,11964,Ondangwa District,Facility,Private,,,,,0
Eheke Clinic,10471,,,,,7325,-17.9254,15.875032,11964,Ondangwa District,Facility,Public_MoHSS,"2,5,6,7,9,13,16,17","Beds,Electricity,Running Water,Health Extension Workers,Toilets,Computers,Enrolled Nurses,Registered Nurses","1,2,3,4,8,31,32,37,38,39,41,49,51,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Anti Retroviral Therapy Main Site,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Psychiatric Services,Clinical Psychology,Option B+,DNA EID Testing",Clinic
Ehafo Clinic,10470,,,,,3662,-17.9701,15.796023,11964,Ondangwa District,Facility,Public_MoHSS,"2,5,6,7,9,13,16,17","Beds,Electricity,Running Water,Health Extension Workers,Toilets,Computers,Enrolled Nurses,Registered Nurses","1,2,3,4,8,31,32,37,38,39,41,52,53,49","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Anti Retroviral Therapy Main Site,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing,Psychiatric Services",Clinic
Tsandi District Hospital,10467,,,,,,-17.7468,14.88536,10621,Tsandi District,Facility,Public_MoHSS,"2,5,6","Beds,Electricity,Running Water","4,1,2,3,31,32,33,36,37,38,39,41,46,52,53","Anti Retroviral Therapy Main Site,HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Viral Load Testing,Sexual Transmitted Infections,General Dentistry,Anti Retroviral Therapy IMAI Site,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Radiology,Option B+,DNA EID Testing",Hospital
Tsandi District Health Office,12026,,,,,,-17.7468,14.88536,10621,Tsandi District,Facility,Public_MoHSS,,,,,District Health Office
Tsandi Clinic,10468,,,,,9321,-17.7477,14.88569,10621,Tsandi District,Facility,Public_MoHSS,"5,6,7","Electricity,Running Water,Health Extension Workers","1,2,3,8,31,32,37,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Oshitudha Clinic,10457,,,,,3217,-17.6194,14.863965,10621,Tsandi District,Facility,Public_MoHSS,"5,6,7","Electricity,Running Water,Health Extension Workers","1,2,3,8,31,32,37,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Ongulumbashe Clinic,10452,,,,,3422,-17.7697,14.6968,10621,Tsandi District,Facility,Public_MoHSS,"5,6,7","Electricity,Running Water,Health Extension Workers","1,2,3,8,31,32,37,38,39,40,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Anti Retroviral Therapy Outreach Site,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Onesi Health Centre,10451,,,,,6573,-17.5894,14.68353,10621,Tsandi District,Facility,Public_MoHSS,"2,5,6,7","Beds,Electricity,Running Water,Health Extension Workers","1,2,3,8,31,32,37,39,40,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Laboratory Services,Family Planning Services,Anti Retroviral Therapy Outreach Site,Tuberculosis Services,Option B+,DNA EID Testing",Health Centre
Onamandongo Clinic,10448,,,,,5404,-17.834,14.92681,10621,Tsandi District,Facility,Public_MoHSS,"5,6,7","Electricity,Running Water,Health Extension Workers","1,2,3,8,31,32,37,38,39,40,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Anti Retroviral Therapy Outreach Site,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Omakange Clinic,10443,,,,,7743,-18.1127,14.316842,10621,Tsandi District,Facility,Public_MoHSS,"5,6,7","Electricity,Running Water,Health Extension Workers","1,2,3,8,31,32,37,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Okatseidhi Clinic,10438,,,,,810,-17.9925,14.7177,10621,Tsandi District,Facility,Public_MoHSS,"5,6,7,9","Electricity,Running Water,Health Extension Workers,Toilets","1,2,3,8,32,36,37,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Nujoma-Eya Clinic,10429,,,65252037,,,-17.7997,15.039516,10621,Tsandi District,Facility,Public_MoHSS,"5,6,7,9,11,16,17","Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Enrolled Nurses,Registered Nurses","1,2,3,8,31,32,36,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Ilyateko Clinic,10425,,,,,5488,-17.6645,14.779378,10621,Tsandi District,Facility,Public_MoHSS,"5,6,7","Electricity,Running Water,Health Extension Workers","1,2,3,8,31,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Eendombe Clinic,10418,,,65252174,,4725,-17.7216,15.09908,10621,Tsandi District,Facility,Public_MoHSS,"5,6,7,9,11,16,17","Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Enrolled Nurses,Registered Nurses","1,2,3,8,31,32,36,39,40,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Family Planning Services,Anti Retroviral Therapy Outreach Site,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Ruacana Clinic,10465,,,,,4445,-17.4375,14.361028,10616,Outapi District,Facility,Public_MoHSS,"5,6,7,9,13,16,17","Electricity,Running Water,Health Extension Workers,Toilets,Computers,Enrolled Nurses,Registered Nurses","1,2,3,8,31,32,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Outapi New Start Centre,10463,,,,,,-17.5154,14.98434,10616,Outapi District,Facility,NGO,,,1,HIV Testing Services,0
Outapi NAPPA Clinic,12223,,,,,,-17.506232,14.980872,10616,Outapi District,Facility,Public_MoHSS,"20,13,5,18,10,17,6,9","Administrative Officers,Computers,Electricity,Health Assistants,Internet,Registered Nurses,Running Water,Toilets","2,32,37,38,39,41","General Clinical Service,Sexual Transmitted Infections,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services",Clinic
Outapi Medical Centre,10464,,,,,,-17.5036,14.991704,10616,Outapi District,Facility,Private,,,,,0
Outapi District Hospital,10461,,,65251022,,,-17.5155,14.9851,10616,Outapi District,Facility,Public_MoHSS,"1,2,4,5,6,8,9,10,11,13,14,16,17,19,20","Ambulances,Beds,Mortuary,Electricity,Running Water,Back Up Generator,Toilets,Internet,Phone Number,Computers,Vehicles,Enrolled Nurses,Registered Nurses,Doctors,Administrative Officers","4,1,2,8,31,32,33,36,37,39,41,46,48,50,52,53","Anti Retroviral Therapy Main Site,HIV Testing Services,General Clinical Service,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,General Dentistry,Anti Retroviral Therapy IMAI Site,Laboratory Services,Family Planning Services,Tuberculosis Services,Radiology,Physiotherapy,Ophthamology & Eye Surgery,Option B+,DNA EID Testing",Hospital
Outapi District Health Office,12021,,,,,,-17.5155,14.9851,10616,Outapi District,Facility,Public_MoHSS,,,,,District Health Office
Outapi Clinic,10462,,,,,26914,-17.5155,14.98536,10616,Outapi District,Facility,Public_MoHSS,7,Health Extension Workers,1,HIV Testing Services,Clinic
Oshaala Clinic,10455,,,811616481,,3191,-17.5246,14.72304,10616,Outapi District,Facility,Public_MoHSS,"5,6,7,9,11,16,17","Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Enrolled Nurses,Registered Nurses","1,2,3,31,32,36,37,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Onawa Clinic,10450,,,65250422,,11524,-17.4601,15.08585,10616,Outapi District,Facility,Public_MoHSS,"5,6,7,9,11,13,16,17,20","Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Computers,Enrolled Nurses,Registered Nurses,Administrative Officers","1,2,3,8,31,32,36,37,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
Omusati Regional Health Office,11977,,,,,,-17.5155,14.9851,10616,Outapi District,Facility,Public_MoHSS,,,,,Regional Health Office
Omusati DAPP,12187,,,,,,,,10616,Outapi District,Facility,NGO,,,1,HIV Testing Services,0
Omona Watjihozu Health Centre,10444,,,,,11640,-17.4344,14.433564,10616,Outapi District,Facility,Public_MoHSS,"5,6,7,9,11,13,14,16,17,20","Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Computers,Vehicles,Enrolled Nurses,Registered Nurses,Administrative Officers","1,2,3,8,31,32,36,37,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Health Centre
Nampower Clinic,10428,,,,,,-17.4379,14.35789,10616,Outapi District,Facility,Private,,,1,HIV Testing Services,Clinic
Mahenene Health Centre,10427,,,65259058,,10596,-17.4505,14.786381,10616,Outapi District,Facility,Public_MoHSS,"5,6,7,9,11,13,14,16,17,20","Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Computers,Vehicles,Enrolled Nurses,Registered Nurses,Administrative Officers","1,2,3,8,31,32,36,37,38,39,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Tuberculosis Services,Option B+,DNA EID Testing",Health Centre
Hope Medical Centre,10570,,,,,,-17.508828,14.988603,10616,Outapi District,Facility,Private,,,,,0
Eunda Clinic,10423,,,811616395,,6185,-17.5212,14.64078,10616,Outapi District,Facility,Public_MoHSS,"5,6,7,9,11,16,17","Electricity,Running Water,Health Extension Workers,Toilets,Phone Number,Enrolled Nurses,Registered Nurses","1,2,3,8,31,32,36,37,38,39,40,41,52,53","HIV Testing Services,General Clinical Service,Expanded Programme on Immunizations,Preventing Mother To Child Transmission Services,Viral Load Testing,Sexual Transmitted Infections,Anti Retroviral Therapy IMAI Site,Laboratory Services,Ante Natal Clinic Services,Family Planning Services,Anti Retroviral Therapy Outreach Site,Tuberculosis Services,Option B+,DNA EID Testing",Clinic
